           2015 American Journal of Political Science Reviewers
Last Name        First Name   Institutional Affiliation
Crescenzi    Mark        University of North Carolina
Crespin      Michael     University of Oklahoma
Croll        Paul        Augustana College
Crutzen      Benoit      Erasmus Universiteit Rotterdam
Cruz         Cesi        University of British Columbia
Cummins      Jeff        California State University, Fresno
Cunningham   David       University of Maryland
Cunningham   Kathleen    University of Maryland
Dafoe        Allan       Yale
Dahlerup     Drude       University of Stockholm
Dale-Riddle  Allison     University of Michigan
Dancey       Logan       Wesleyan University
Dancy        Geoffrey    Tulane
Dancygier    Rafaela     Princeton University
Davenport    Christian   University of Michigan
Davenport    Tiffany     United States Naval Academy
Davis        Belinda     Louisiana State University
Davis        Christina   Princeton University
Davis        Darren      University of Notre Dame
Davis        Richard     Brigham Young University
Dawes        Christopher New York University
de Groot     Olaf         ECLAC
de Kadt      Daniel      Massachusetts Institute of Technology
de la Calle  Luis        Centro de Investigación y Docencia Económicas (CIDE)
De La O      Ana         Yale
de Magelhaes Leandro     University of Bristol
de Migeul    Carolina    University of Toronto
de Ree       Joppe       The World Bank
Debs         Alexandre   Yale University
Debus        Marc        University of Mannheim
Dell         Melissa     Harvard University
Delton       Andrew      Stony Brook University
DeMeritt     Jacqueline  University of North Texas
Den          Chris       California Polytechnic State University
Denny        Kevin       University College Dublin
Denny        Matthew     Pennsylvania State University
Desai        Raj         Georgetown University
DeSante      Christopher Indiana University
DeSante      Christopher Oberlin College
DeScioli     Peter       Stony Brook University
                               8

Desmarais     Bruce       University of Massachusetts Amherst
Dettrey       Bryan       Pennsylvania State University, Harrisburg
Devine        Christopher Mount Vernon Nazarene University
Devine-Wright Patrick     University of Exeter
Dewan         Torun       London School of Economics
Dickinson     Matthew     Middlebury College
Dietrich      Simone      University of Essex
Diez          Jordi       University of Guelph
DiLorenzo     Matthew     Vanderbilt University
Dimitrov      Martin      Tulane University
Dinas         Elias       University of Nottingham
Dincecco      Mark        University of Michigan
Dion          Michelle    McMaster University
Distelhorst   Greg        University of Oxford
Ditonto       Tessa       Iowa State University
Djupe         Paul        Denison University
Doherty       David       Loyola University Chicago
Doherty       Kathleen    University of Southern California
Dolan         Kathleen    University of Wisconsin Milwaukee
Dolezal       Martin      University of Vienna
Dominguez     Casey       University of San Diego
Donno         Daniela     University of Pittsburgh
Doucouliagos  Chris       Deakin University
Douglas       Karen       University of Kent
Dowling       Conor       University of Mississippi
Downes        Alexander   George Washington University
Dreher        Axel        Heidelberg University.
Driscoll      Jesse       UCSD
Dropp         Kyle        Dartmouth College
Dumitrescu    Delia       Universite de Montreal
Dunaway       Johanna     Louisiana State University
Dunn          John        University of Cambridge
Dunn          Kris        University of Leeds
Dür           Andreas     University of Salzburg
Dyrstad       Karin       SINTEF (The Foundation for Scientific and Industrial Research)
Early         Bryan       University at Albany, SUNY
Eaves         Carrie      Elon University
Eck           Kristine    Uppsala University
Edwards       Barry       University of Central Florida
Egan          Patrick     New York University
Eggers        Andrew      University of Oxford
Ehrlich       Sean        Florida State University
Einstein      Katherine   Boston University
                                9

Eisenstadt     Todd        American University
Eisenstein     Marie       Indiana University Northwest
Elischer       Sebastian   University of Florida
Ellis          Christopher Bucknell University
Elman          Colin       Syracuse University
Elsig          Manfred     University of Bern
Enders         Adam        Michigan State University
Endersby       James       University of Missouri
Engstrom       Erik        University of California, Davis
Enikolopov     Ruben       Barcelona Institute for Political Economy and Governance
Enns           Peter       Cornell University
Enos           Ryan        Harvard University
Ensley         Michael     Kent State University
Epperly        Brad        University of South Carolina
Epstein        Lee         Washington University in St Louis
Erdem          Selim       Koc Universitesi
Erikson        Robert      Columbia University
Esaiasson      Peter       University of Gothenburg
Esarey         Justin      Rice University
Escobar-Lemmon Maria       Texas A&M University
Escriba-Folch  Abel        Universitat Pompeu Fabra
Esterling      Kevin       University of California, Riverside
Ezrow          Lawrence    University of Essex
F              Juan        Universidad del Rosario
Facchini       Giovanni    University of Nottingham
Faguet         Jean-Paul   London School of Economics
Fairdosi       Amir        Dartmouth College
Falcó-Gimeno   Albert      University of Barcelona
Faricy         Christopher Syracuse University
Fariss         Christopher Penn State University
Farrier        Jasmine     University of Louisville
Fasone         Cristina    European University Institute
Fazal          Tanisha     University of Notre Dame
Fazekas        Zoltan      Universitetet i Oslo
Federico       Christopher University of Minnesota
Feezell        Jessica     University of New Mexico
Feldman        Stanley     Stony Brook
Feng           Yi          Claremont Graduate University
Ferguson       John-Paul   Stanford Graduate School of Business
Fernandez-     Pablo       Carlos III - Juan March Institute
Vazquez
Fetzer         Thiemo      London School of Economics and Political Science
Fieldhouse     Edward      University of Manchester
                                10

Findley    Michael   University of Texas at Austin
Fishkin    James     Stanford University
Fisman     Raymond   Columbia University
Fitzgerald Jennifer  University of Colorado at Boulder
Fiva       Jon       Norwegian School of Management
Flanders   Chad      St. Louis University
Flavin     Patrick   Baylor University
Fleisher   Richard   Fordham University
Florea     Adrian    University of Glasgow
Floros     Katherine University of Illinois at Chicago
Folke      Olle      Uppsala University
Fontana    David     George Washington University Law School
Ford       Robert    University of Manchester
Fordham    Benjamin  Binghamton University (SUNY)
Fording    Richard   University of Alabama
Fortunato  David     UC Merced
Fossati    Diego     Cornell University
Fouirnaies Alexander University of Oxford Nuffield College
Fowler     Anthony   University of Chicago
Fowler     Erika     Wesleyan University
Fowler     Linda     Dartmouth College
Fowler     Luke      Valdosta State University
Fox        Jonathan  Bar-Ilan University
Fox        Justin    Washington University at St. Louis
Fox        Richard   Loyola Marymount University
Fraga      Bernard   Indiana University
Fraga      Luis      University of Notre Dame
Fraile     Marta     CSIC
Fraile     Marta     Spanish CSIC- Consejo Superior de Investigaciones Científicas
Francia    Peter     East Carolina University
Franko     William   Auburn University
Frantz     Erica     Michigan State University
Franz      Michael   Bowdoin College
Franzese   Robert    University of Michigan
Frederick  Brian     Bridgewater State
Freeman    John      Minnesota
Freier     Ronny     DIW Berlin
Frenkel    Sivan     Tel Aviv University
Frowd      Philippe  University of Sheffield
Fuhrmann   Matthew   Texas A&M University
Fujiwara   Thomas    Princeton University
Fukumoto   Kentaro   Gakushuin University
Fulton     Sarah     Texas A&M University
                          11

Gadarian     Shana       Syracuse University
Gainsborough Juliet      Bentley University
Galiani      Sebastian   University of Maryland
Gallego      Aina        Institut Barcelona D’Estudis Internacionals
Gallop       Max         Duke University
Gandhi       Jennifer    Emory University
Gans-Morse   Jordan      Northwestern University
Garry        John        Queen's University Belfast
Gartner      Scott       Penn State
Gartzke      Erik        University of California, San Diego
Gay          Claudine    Harvard University
Geer         John        Vanderbilt
Gehlbach     Scott       University of Wisconsin Madison
Gelman       Andrew      Columbia
Gelman       Jeremy      University of Michigan
Gelpi        Christopher The Ohio State University
Genicot      Garance     Georgetown University
Gerber       Elisabeth   University of Michigan
Gerber       Marlene     University of Bern
Ghosn        Faten       University of Arizona
Gibler       Douglas     University of Alabama
Gibson       James       Washington University in St. Louis
Gibson       Troy        University of Southern Mississippi
Giger        Nathalie    University of Zürich
Gil-Pareja   Salvador    Universitat de Valencia
Gilardi      Fabrizio    University of Zurich
Gillespie    Andra       Emory University
Gimpel       James       University of Maryland
Gingerich    Daniel      University of Virginia
Glasgow      Garrett     University of California, Santa Barbara
Gleditsch    Kristian    University of Essex
Glick        David       Boston University
Glynn        Adam        Emory University
Godard       Francois    University of Geneva
Goemans      Hein        University of Rochester
Goertz       Gary        University of Notre Dame
Goidel       Robert      Texas A&M University
Golder       Matt        Pennsylvania State University
Golder       Sona        Pennsylvania State University
Goldman      Seth        University of Massachusetts Amherst
Goldrick-Rab Sara        University of Wisconsin
Goldstein    Ken         University of San Francisco
Gorecki      Maciej      University of Warsaw
                               12

Gottlieb       Jessica     Texas A&M University
Graham         Benjamin    University of Southern California
Granato        Jim         University of Houston
Grant          Daragh      University of Chicago
Gravelle       Timothy     University of Essex
Green          Donald      Columbia University
Green          Elliott     London School of Economics
Green          Jessica     New York University
Green-Pedersen Christoffer Aarhus University
Greene         Steven      North Carolina State University
Greene         Zachary     University of Strathclyde
Greig          J.          University of North Texas
Griffin        John        University of Colorado Boulder
Grigorescu     Alexandru   Loyola University Chicago
Grimmer        Justin      Stanford University
Groenendyk     Eric        University of Memphis
Gross          Justin      University of Massachusetts Amherst
Gross          Kimberly    George Washington University
Grosser        Jens        Florida State University
Grossman       Guy         University of Pennsylvania
Grossmann      Matt        Michigan State University
Grynaviski     Jeffrey     Wayne State University
Gschwend       Thomas      University of Mannheim
Gueorguiev     Dimitar     Syracuse University
Guillaume      Jean        University of Waterloo
Guinaudeau     Isabelle    Sciences Po Bordeaux
Guisinger      Alexandra   Temple University
Guo            Gang        The University of Mississippi
Gurantz        Ron         University of California Los Angeles
Habyarimana    James       Georgetown
Hafner-Burton  Emilie      UCSD
Haftel         Yoram       The Hebrew University of Jerusalem
Haider-Markel  Donald      University of Kansas
Hainmueller    Jens        Stanford
Hajnal         Zoltan      UCSD
Hall           Andrew      Stanford University
Hall           Matthew     University of Notre Dame
Hall           Melinda     Michigan State University
Hammond        Thomas      Michigan State University
Hangartner     Dominik     LSE
Hanna          Alex        University of Wisconsin
Hansen         Kasper      University of Copenhagen
Hansen         Sune        Syddansk Universitet
                                13

Hansford         Thomas      University of California Merced
Harbaugh         Rick        Indiana University
Harbridge        Laurel      Northwestern University
Harden           Jeffrey     University of Colorado Boulder
Hare             Christopher University of California Davis
Harff            Barabara    Naval Academy
Harkness         Kristen     University of St. Andrew's
Harmel           Robert      Texas A&M University
Harris           Adam        New York University
Hartman          Todd        University of Sheffield
Hartney          Michael     Lake Forest College
Hartzell         Caroline    Gettysburg College
Harvey           Anna        New York University
Haselswerdt      Jake        George Washington University
Hatemi           Peter       The Pennsylvania State University
Haughton         Tim         University of Birmingham
Hawkins          Darren      Brigham Young University
Hayes            Matthew     Indiana University Bloomington
Haynes           Kyle        Webster University
Haynie           Kerry       Duke University
Hayo             Bernd       Philipps-University Marburg
Hays             Jude        University of Pittsburgh
Healy            Andrew      Loyola Marymount University
Heaney           Michael     University of Michigan
Heberlig         Eric        University of North Carolina, Charlotte
Hee              Jong        Seoul National University
Hefeker          Carsten     Universitat Siegen
Heikkila         Tanya       University of Colorado Denver
Heinrich         Tobias      University of South Carolina
Heinze           Georg       Medical University of Vienna
Helgason         Agnar       The University of Iceland
Hellwig          Timothy     Indiana University Bloomington
Henderson        John        Yale University
Henderson        Michael     Louisiana State University
Hendrix          Cullen      University of Denver
Henrik           Carl        University of Oslo
Herne            Kaisa       University of Tampere
Hero             Rodney      University of California, Berkley
Herrmann         Michael     University of Konstanz
Herrnson         Paul        University of Connnecticut
Hersh            Eitan       Yale University
Hertel-Fernandez Alexander   Harvard University
Herzog           Alexander   Clemson University
                                  14

Hetherington Marc      Vanderbilt University
Hibbing      John      University of Nebraska
Hibbing      Matthew   UC Merced
Hidalgo      Fernando  Massachusetts Institute of Technology
Higashijima  Masaaki   Waseda University
Highton      Benjamin  UC Davis
Hill         Daniel    University of Georgia
Hill         Kim       Texas A&M University
Hill         Seth      University of California, San Diego
Hillygus     D.        Duke University
Hinkle       Rachael   University at Buffalo, SUNY
Hitt         Matthew   Louisiana State University
Hix          Simon     London School of Economics and Political Science
Hobolt       Sara      London School of Economics and Political Science
Hochschild   Jennifer  Harvard University
Hoddie       Matthew   Towson University
Hoffman      Lindsay   University of Delaware
Hoffman      Michael   Princeton University
Hofner       Benjamin  Friedrich-Alexander-Universität Erlangen-Nürnberg
Holland      Alisha    Harvard University
Hollibaugh   Gary      University of Notre Dame
Hollyer      James     University of Minnesota
Holmes       Marcus    College of William and Mary
Holtermann   Helge     University of Oslo
Holtgraves   Thomas    Bowling Green State University
Holyk        Gregory   Langer Research Associates
Holyoke      Thomas    California State University, Fresno
Honnige      Christoph Leibniz Universität Hannover
Hooghe       Liesbet   University of North Carolina at Chapel Hill
Hopkins      Daniel    University of Pennsylvania
Hopkins      David     Boston College
Hopkins      Jonathan  London School of Economics
Horiuchi     Yusaku    Dartmouth College
Hornsey      Matthew   University of Queensland
Horowitz     Michael   University of Pennsylvania
Howell       William   University of Chicago
Hoyland      Bjorn     University of Oslo
Hsieh        John      University Of South Carolina
Huang        Haifeng   University of California Merced
Huang        Reyko     Texas A&M University
Huber        Daniela   Hebrew University
Huber        Evelyne   University of North Carolina at Chapel Hill
Huber        Gregory   Yale
                            15

Huckfeldt     Robert    University of California Davis
Huddy         Leonie    Stony Brook University
Hultman       Lisa      Uppsala University
Hummel        Sarah     University of Illinois at Urbana-Champaign
Humphreys     Macartan  Columbia University
Hurwitz       Jon       University of Pittsburgh
Hutchings     Vincent   University of Michigan
Hutchison     Marc      University of Rhode Island
Hyde          Susan     Yale University
Ichino        Nahomi    University of Michigan
Ilzetski      Ethan     London School of Economics and Political Science
Imai          Kosuke    Princeton University
Ingham        Sean      University of Georgia
Iqbal         Zaryab    Pennsylvania State University
Iversen       Torben    Harvard
Iyengar       Shanto    Stanford
Iyer          Lakshmi   Harvard Business School
Jablonski     Ryan      London School of Economics and Political Science
Jackman       Molly     Vanderbilt University
Jacobi        Tonja     Northwestern University School of Law
Jacobs        Alan      University of British Columbia
Jacobson      Daniel    University of Michigan
Jahn          Detlef    University of Greifswald
James         Oliver    University of Exeter
James         Patrick   University of South California
Jardina       Ashley    Duke University
Jaskoski      Maiah     Naval Postgraduate School
Jenkins       Laura     University of Cincinnati
Jenkins       Shannon   University of Massachusetts Dartmouth
Jenkins-Smith Hank      University of Oklahoma
Jennings      Will      University of Southampton
Jensen        Christian University of Neveda
Jensen        Nathan    George Washington University
